player_id,web_name,first_name,second_name,team,team_short_name,position,price_millions,selected_by_percent,transfers_in,transfers_out,status,chance_of_playing_next_round,news,captured_at
350,A.Becker,Alisson,Becker,Liverpool,LIV,GK,5.5,4.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
38,A.García,Andrés,García,Aston Villa,AVL,DEF,4.0,1.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
451,A.Murphy,Alex,Murphy,Newcastle,NEW,DEF,4.0,0.8,0,0,a,,,2026-07-28T16:37:26.460290+00:00
337,Aaronson,Brenden,Aaronson,Leeds,LEE,MID,5.5,0.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
477,Abbott,Zach,Abbott,Nott'm Forest,NFO,DEF,4.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
56,Abraham,Tammy,Abraham,Aston Villa,AVL,FWD,5.5,0.0,0,0,i,0,Shoulder injury - Expected back 23 Aug,2026-07-28T16:37:26.460290+00:00
151,Acheampong,Josh,Acheampong,Chelsea,CHE,DEF,4.5,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
73,Adams,Tyler,Adams,Bournemouth,BOU,MID,5.0,0.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
546,Adingra,Simon,Adingra,Sunderland,SUN,MID,5.0,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
77,Adli,Amine,Adli,Bournemouth,BOU,MID,5.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
473,Aina,Ola,Aina,Nott'm Forest,NFO,DEF,4.5,5.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
279,Ajayi,Semi,Ajayi,Hull City,HUL,DEF,4.0,0.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
87,Ajer,Kristoffer,Ajer,Brentford,BRE,DEF,4.5,0.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
296,Akintola,David,Akintola,Hull City,HUL,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
320,Akpom,Chuba,Akpom,Ipswich Town,IPS,FWD,5.0,0.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
322,Al-Hamadi,Ali,Al-Hamadi,Ipswich Town,IPS,FWD,5.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
243,Alcaraz,Carlos,Alcaraz Durán,Everton,EVE,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
